user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
wmarybeard,"Of course one can’t condone the (alleged) behaviour of Oxfam staff in Haiti and elsewhere. But I do wonder how hard it must be to sustain “civilised” values in a disaster zone. And overall I still respect those who go in to help out, where most of us wd not tread.",2018-02-16T21:32:56.000Z,https://t.co/DqPvEoRaGH,mary beard,NA,false,274,1873,711,657,-1216,437
LBC,The reality in the UK is that people from all aspects of life use sex workers. Are we guilty of a terrible double standard against the Oxfam staff? https://t.co/dDCrhQCLQD,2018-02-19T15:07:53.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,16,29,73,149,120,57
MirrorPolitics,"'It's not like we murdered babies': Oxfam chief hits out at 'unfair' backlash over sex scandal
https://t.co/EoJmb1uRzG https://t.co/7tL6rlYybD",2018-02-16T23:27:22.000Z,https://t.co/dKUAJDaQIC,Mirror Politics,UK,true,21,9,74,46,37,53
oxfam_es,"Reacción de Oxfam a la historia de comportamiento sexual inapropiado en Haití: https://t.co/fOdMKx7Ipu
Esperamos poder reconstruir la confianza con nuestros seguidores, quienes saben, al igual que nosotros, que las acciones de unos pocos no representan los valores de Oxfam.",2018-02-09T16:39:01.000Z,https://t.co/aplatx7aga,Oxfam en español,América Latina y el Caribe,true,38,52,73,95,43,35
Independent,'We must continue to fund Oxfam despite the Haiti scandal' https://t.co/0Bn9nmhWWn,2018-02-12T08:16:09.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,15,32,36,67,35,21
Independent,Aid worker who used prostitutes: Judge me by my work not what I do in my spare time https://t.co/BU5QhwGRtS https://t.co/lhxN8Eolwj,2018-02-13T13:56:43.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,14,12,27,45,33,13
fleetstreetfox,The only thing more sickening than the #Oxfam #Haiti scandal are those prepared to exploit it to make a political point: https://t.co/VrfmdeVqPK https://t.co/0CxltKC51W,2018-02-12T13:55:00.000Z,https://t.co/fRGIwEptY6,fleetstreetfox,"Fleet Street, of course",true,25,47,28,39,-8,3
labourpress,Charity Commission and Government have questions to answer on Oxfam scandal - @KateOsamor  https://t.co/RPy2SUgiC8,2018-02-13T11:25:22.000Z,https://t.co/ArqnDGS4Rz,Labour Press,UK,true,22,24,25,40,16,3
Independent,Glastonbury 'will stand by Oxfam' after aid workers sex scandal https://t.co/lD3yQv4pRt,2018-02-17T10:51:04.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,6,26,9,10,-16,3
destandaard,‘Belgische Oxfam-directeur in Haïti liet zich gaan met prostituees’ https://t.co/3SntZVjs6X https://t.co/mCIxrODMk6,2018-02-09T08:00:09.000Z,https://t.co/tVvFa4l12D,De Standaard,"Brussels, Belgium",true,6,4,8,5,1,2
TalkTV,Has the Oxfam scandal made you think twice about giving to charity? @JuliaHB1 https://t.co/ASBItJH7fr,2018-02-12T06:38:07.000Z,https://t.co/LYQHmLq5lA,TalkTV,United Kingdom,true,8,22,10,64,42,2
DailyMailUK,Oxfam risks losing £48m of EU cash as Innocent Smoothies threatens to cut ties with charity over abuse scandal https://t.co/gsbuHnwQGS,2018-02-13T07:52:04.000Z,https://t.co/ek8b6Uh75Q,Daily Mail U.K.,"London, UK",true,1,2,3,1,-1,2
BBCWomansHour,On now: #Oxfam's deputy CEO Penny Lawrence has quit amid the charity’s sexual abuse scandal. But what now for the victims? https://t.co/ZVpUVmUFH7 👈📻 https://t.co/8dsJFTJFIK,2018-02-13T10:10:01.000Z,http://t.co/CTvTpqNaDx,BBC Woman's Hour,@BBCRadio4,true,1,4,3,2,-2,2
newint,"‘Should this moral code be seen to be broken, such as through the disgusting ‘Caligula orgies’ in Haiti, it throws the legitimacy of the industry into question. If aid workers are not good then how can we trust that our money is also doing good?’
https://t.co/fw75M1wwUM",2018-02-15T07:45:07.000Z,https://t.co/W7KywjGE3j,New Internationalist,Worldwide,true,1,1,3,0,-1,2
HuffPostUKPol,#Breaking Oxfam scandal: charity to stop bidding for government funding https://t.co/ooAkzDFgUG https://t.co/XGwsQZuQ73,2018-02-16T18:27:22.000Z,https://t.co/0gsBW05XkO,HuffPost UK Politics,NA,true,4,8,6,4,-4,2
HuffPostUK,Oxfam boss calls sex abuse scandal reaction 'out of proportion' https://t.co/kPFsY8qaKN https://t.co/KLX8y1uFFL,2018-02-17T09:52:20.000Z,https://t.co/JWLtGsITWW,HuffPost UK,UK,true,2,2,4,1,-1,2
LBC,Oxfam boss Mark Goldring has apologised after further allegations. What more do Oxfam need to rebuild trust? https://t.co/g1g4UX2qQi,2018-02-20T17:08:52.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,2,4,4,43,39,2
welingelicht,Oxfam hield seksfeesten in rampgebied Haiti Volgens de Times is er een video waarop een orgie staat die ‘doet denken aan Caligula’. https://t.co/OCU5pIZblB https://t.co/WvVfpLeQmC,2018-02-09T06:00:04.000Z,https://t.co/HqSlXd7gN7,WelingelichteKringen,NA,false,4,3,5,1,-2,1
Knack,'Oxfam-werknemers lieten zich gaan met prostituees tijdens missie in Haïti' https://t.co/dIkzwg3UJy https://t.co/vRy5dpse5d,2018-02-09T08:04:48.000Z,http://t.co/oEfyAuW26z,Knack,"Brussels, Belgium",true,1,3,2,1,-2,1
