user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
foxandfriends,Pepsi releases statement defending their controversial ad https://t.co/bORCQunx2D,2017-04-05T12:17:03.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,25,37,25,139,102,0
TheView,"Are you ready for #HotTopics?! @TheView is LIVE now! Coming up:
- Trump blames Obama for Syria
- Kendall’s Pepsi ad backlash
- and MORE! https://t.co/ktYV6gpfCf",2017-04-05T15:00:10.000Z,https://t.co/rZwammTMaR,The View,Weekdays 11e|10c|p on ABC,true,13,67,6,159,92,-7
KKPDoc,#MBAP519SP17 Kendall Jenner's Pepsi ad sparks backlash https://t.co/cuBXFTETGT,2017-04-05T15:55:01.000Z,https://t.co/rmJTOzCxGy,Dr. Kimberly K. Powell,NA,false,2,4,0,75,71,-2
Adweek,Q1: What's your overall take on Pepsi's Kendall Jenner ad? Flat-out train wreck? Any redeeming qualities? #AdweekChat,2017-04-05T18:04:16.000Z,https://t.co/5GsyiFiwln,Adweek,New York City,true,3,14,11,82,68,8
Adweek,"Q6: Does this ad expose a rottenness at the core of brands that leverage this era of activism, or is Pepsi just one bad apple? #AdweekChat",2017-04-05T18:50:11.000Z,https://t.co/5GsyiFiwln,Adweek,New York City,true,5,21,9,58,37,4
sal_castaneda,Do you think the Pepsi Ad featuring Kendall Jenner is disrespectful? 1. Yes. 2. No 3. Don't care.,2017-04-05T14:30:22.000Z,,Sal Castaneda,"San Francisco, California",true,1,5,3,40,35,2
foxandfriends,Kendall Jenner appears in Pepsi's 'Jump In' commercial featuring protesters https://t.co/pP9RNDkYlw,2017-04-04T23:40:03.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,9,15,12,46,31,3
Adweek,Q7: Pepsi pulled the ad today. What else should it do now? What lingering damage has been done? #AdweekChat,2017-04-05T18:56:05.000Z,https://t.co/5GsyiFiwln,Adweek,New York City,true,10,34,15,64,30,5
nationalpost,"Kendall Jenner is reportedly ‘traumatized’ by Pepsi backlash, ‘terrified’ she’ll never work again https://t.co/h78AajzNVo via @nparts https://t.co/OFAf6JupmF",2017-04-10T17:15:04.000Z,http://t.co/oKWsUt0rCz,National Post,Canada,true,4,5,18,32,27,14
KTVU,Some say new @pepsi commercial with @KendallJenner at protest is disrespectful. Do you agree? Watch in link https://t.co/ihmfT6ebA5,2017-04-05T13:32:01.000Z,https://t.co/2qqBMywdvx,KTVU,"Oakland, CA",true,4,2,2,22,20,-2
theblaze,"Pepsi pulls ad after massive backlash from social justice warriors, Black Lives Matter activists – TheBlaze - https://t.co/Jk70eTJOIj https://t.co/fAMKrn7A4w",2017-04-05T20:11:18.000Z,https://t.co/fzW2udWeEx,TheBlaze,"Dallas, TX",true,11,14,13,34,20,2
esquire,Kendall Jenner is reportedly 'devastated' over the pulled Pepsi ad: https://t.co/QBzan2GgEw https://t.co/m5tDBGDEEw,2017-04-06T13:25:34.000Z,https://t.co/d1krleoPPa,Esquire,"New York, NY",true,25,58,282,78,20,257
NYDailyNews,Kendall Jenner is “devastated” by the backlash over her Pepsi ad https://t.co/Zctf7dUDOq https://t.co/C2uAlObf6c,2017-04-06T01:20:50.000Z,https://t.co/0UlNdSH0rW,New York Daily News,New York / fb.com/nydailynews,true,5,13,17,31,18,12
DailyCaller,"Accused Of Being Too Nice To Cops, Pepsi Yanks Kendall Jenner Protest Ad https://t.co/ygbL8t65wk https://t.co/owmKWYPZrp",2017-04-05T21:41:02.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,28,32,38,49,17,10
foxandfriends,Kendall Jenner's Pepsi ad sparks social media outcry https://t.co/8DXYrwnVyo,2017-04-05T08:35:08.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,4,12,6,28,16,2
milesfan79,"All things being equal, had commercial had Beyonce in it, would ppl still be mad at Pepsi for commercializing protest?",2017-04-05T11:51:11.000Z,https://t.co/C6i5dHRXfb,Fave Chappelle™,#BlackTwitter,false,10,14,111,29,15,101
JoeTalkShow,All sides of the political spectrum seem aligned against this @pepsi ad.  Watch it before this link disappears. https://t.co/6HKparpBdr,2017-04-05T21:59:05.000Z,https://t.co/qtwqn1J5dh,Joe Pags Pagliarulo,"San Antonio, TX",true,6,8,2,23,15,-4
NBCNews,Kendall Jenner's Pepsi commercial has sparked anger after being accused of appropriating #BlackLivesMatter https://t.co/j0ahykK9sy https://t.co/oWPTtzON1j,2017-04-05T12:40:08.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,19,31,11,44,13,-8
Fiona_Daubon,"""Good Concept- Horrible execution!"" @itsjustjez_  What are your thoughts on the controversial #Pepsi commercial? GO https://t.co/BC3lZtYggt",2017-04-06T15:24:38.000Z,,Fiona Daubon,NA,false,1,1,0,14,13,-1
smerconish,See video &amp; vote now at https://t.co/UCpx3FqWfX: Does the @KendallJenner @Pepsi commercial appropriate #BlackLivesMatter movement?,2017-04-05T15:31:01.000Z,https://t.co/R452ZD6jEo,Michael Smerconish,"Philadelphia, PA",true,1,2,0,14,12,-1
DailyCaller,Madonna Takes A Jab At Pepsi For Its Kendall Jenner Protest Ad https://t.co/z7v8FoAKTL #Madonna #KendallJenner #Pepsi $PEP https://t.co/PNAhmZ3LdB,2017-04-06T20:57:54.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,2,1,2,13,12,0
CBCNews,'Blatantly awful and tone deaf': Why did Pepsi run its Kendall Jenner protest ad? https://t.co/ilb7jIPwcH https://t.co/ldBVDFKaur,2017-04-06T08:00:48.000Z,https://t.co/xyskMwlawc,CBC News,Canada,true,9,12,2,23,11,-7
HarveyLevinTMZ,KENDALL JENNER: BACKLASH BEGINS Over Pepsi Protest Ad https://t.co/AcWZ8T2wjR Are people overreacting or is it really mocking movements?,2017-04-05T15:18:06.000Z,http://t.co/d8JXgib0nr,Harvey Levin,"Los Angeles, CA",true,1,6,2,16,10,1
theGrio,Kendall Jenner is reportedly 'devastated' over the pulled Pepsi ad: https://t.co/AgEtJgoRDb https://t.co/Ovrl1ffMzG,2017-04-06T13:38:48.000Z,https://t.co/KDYODnx1kj,theGrio.com,NA,true,4,10,100,20,10,96
ESSENCE_Debates,What was your reaction to the Pepsi protest theme ad w/ Kendall Jenner? #lunchtimedebate,2017-04-07T16:32:15.000Z,https://t.co/HYYZBXrU9E,ESSENCE Debates,"New York, NY",false,2,1,0,11,10,-2
smerconish,Does the @KendallJenner @Pepsi commercial appropriate the #BlackLivesMatter movement? Vote now at https://t.co/UCpx3FqWfX #Poll,2017-04-05T12:19:53.000Z,https://t.co/R452ZD6jEo,Michael Smerconish,"Philadelphia, PA",true,1,8,1,17,9,0
JoeTalkShow,.@pepsi @KendallJenner -- does someone want to explain this commercial to me please?  https://t.co/fXoRBhDslJ Thanks,2017-04-05T15:57:55.000Z,https://t.co/qtwqn1J5dh,Joe Pags Pagliarulo,"San Antonio, TX",true,2,10,2,19,9,0
DailyCaller,Kendall Jenner ‘Laying Low’ Until The Pepsi Commercial Controversy Blows Over https://t.co/dee4AHmpzm #KendallJenner #Pepsi $Pep https://t.co/c5M7aieuji,2017-04-10T20:12:42.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,8,8,3,17,9,-5
dcexaminer,Pepsi pulls Kendall Jenner ad after social media backlash https://t.co/qehbxRBpuC https://t.co/q500Tt0Xwt,2017-04-05T19:01:05.000Z,https://t.co/rUG6hFZCFo,Washington Examiner,"Washington, DC",true,2,3,0,11,8,-2
falla_adinda,Iklan Pepsi yang ada Kendall Jenner kenapa kontroversi sih? Part mana yang bikin tubir?,2017-04-06T08:36:20.000Z,https://t.co/04pUYDY5fv,FALLA 🎀,bangku kiri,false,5,1,2,9,8,-3
TheTorontoSun,Kendall Jenner traumatized over Pepsi ad backlash: report. https://t.co/1S08yoE092 https://t.co/GqYmJx4Jvl,2017-04-10T13:10:13.000Z,https://t.co/syvPNjzI8W,Toronto Sun,"365 Bloor St. E., Toronto, ON",true,1,1,1,9,8,0
hartng,"Some, if not most of our outrage is acquired. I watched the Pepsi Commercial &amp; truly liked it. Then googled Pepsi outrage before I knew why.",2017-04-05T07:59:59.000Z,https://t.co/y78pjrqkfb,Sam Hart,"Abia, Nigeria",false,12,6,3,13,7,-9
CNNEE,¿Crees que el comercial de Pepsi y Kendall Jenner es inapropiado? https://t.co/FlYc6oehM9,2017-04-05T13:40:56.000Z,https://t.co/6nHDD785lT,CNN en Español,En todas partes,true,10,28,5,35,7,-5
DailyCaller,Opinion: How Pepsi Alienated The Entire Country With One Ad https://t.co/upfmr0AlbP https://t.co/mz8YbjhFt4,2017-04-10T11:39:17.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,8,8,3,15,7,-5
waterrwithlemon,"Why would anyone think
That giving a cop a drink
Would bring about change?
We still think you're strange.
Pls dump that Pepsi down the sink.",2017-04-05T00:57:56.000Z,https://t.co/fErFdtN98a,Paige Lylet,NA,false,1,1,0,7,6,-1
Jiikae,Sure the Pepsi commercial is tone deaf as fuck but it's not really doing any harm. It's just a dumb commercial we'll forget about next week,2017-04-05T20:42:30.000Z,https://t.co/RUnga0VFTK,Jiikae,File Island,false,1,1,0,7,6,-1
sararcle,"I can't believe some people honestly think that the reason poc have an issue with that #Pepsi ad, is because they cast a white girl.",2017-04-06T23:18:14.000Z,,Sara 🌸,NA,false,1,3,0,9,6,-1
jannarden,Kendall Jenner: Fans Furious Model’s Pepsi Ad Is Using Resistance Protests To Sell Soda https://t.co/THopCLxkGq. What do you think?,2017-04-05T02:10:40.000Z,https://t.co/CYbCfPV9DO,jann arden,CANADA,true,4,13,0,18,5,-4
LokiJulianus,I haven't watched the Pepsi commercial.,2017-04-05T03:56:18.000Z,https://t.co/GhZMk8ZgtT,Just Loki,Nod ,false,1,2,0,7,5,-1
FoxNews,Kendall Jenner's Pepsi ad sparks social media outcry https://t.co/gT8zQ45o0W via @Gaydosland https://t.co/ACAWN5pyfw,2017-04-05T06:52:52.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,52,116,26,121,5,-26
adage,POLL: Does Pepsi's Kendall Jenner ad celebrate a new generation of protest or just co-opt it? https://t.co/9ueKOAjSnv https://t.co/BBRDUvzMZS,2017-04-05T14:30:02.000Z,http://t.co/sy4FPwsQ56,Ad Age,"NYC, Chicago, Los Angeles, USA",true,5,4,4,9,5,-1
Hey_itsTa,If y'all don't see the problem with Kendall Jenner's Pepsi ad then... you're part of the problem!,2017-04-05T14:40:59.000Z,https://t.co/ggKXRzpmAl,Tay,DC,false,1,1,0,6,5,-1
TMZ,WATCH OUT Cindy Crawford! Kendall Jenner Is TAKING OVER As Pepsi's New Model Icon! (via @PopCrush) https://t.co/zYZqXeNW4e,2017-04-05T15:30:16.000Z,https://t.co/LQPPfVeJqW,TMZ,"Los Angeles, CA",true,6,10,7,15,5,1
wusa9,What do you think of Pepsi's now-pulled ad? @brucejohnson9 says he doesn't get the uproar. See your tweets tonight at 7 on #OffScriptOn9 https://t.co/V77U6zbOSv,2017-04-05T22:28:51.000Z,https://t.co/5155IbryUC,WUSA9,"Washington, DC",true,4,7,9,12,5,5
ajc,Kendall Jenner reportedly 'devastated' by backlash over Pepsi ad https://t.co/X1Z2sHNVEX https://t.co/ZqJ5frOGp1,2017-04-06T09:55:15.000Z,https://t.co/jvkZJ5B2LG,Atlanta Journal-Constitution,"Atlanta, GA",true,3,2,26,7,5,23
HarveyLevinTMZ,KENDALL JENNER: FINAL PEPSI SCENE INSPIRED BY '60S PIC NOT Black Lives Matter https://t.co/UHRqsnqiFI Just a gross misunderstanding or not?,2017-04-06T14:15:36.000Z,http://t.co/d8JXgib0nr,Harvey Levin,"Los Angeles, CA",true,3,6,4,11,5,1
DailyCaller,"Celebrities Attack Kendall Jenner, Pepsi Over Social Justice Ad https://t.co/BvgzSOAesm #KendallJenner #Pepsi $PEP https://t.co/7HklHwLoGE",2017-04-06T18:40:00.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,1,3,1,8,5,0
ESSENCE_Debates,Pepsi protest ad inspired by Vietnam War protester putting flower in cop rifle https://t.co/jxSpZaxBTW #lunchtimedebate,2017-04-07T16:47:50.000Z,https://t.co/HYYZBXrU9E,ESSENCE Debates,"New York, NY",false,2,1,0,6,5,-2
thesmokeroom,Kendall Jenner ‘Laying Low’ Until The Pepsi Commercial Controversy Blows Over https://t.co/Z9jlkZOvz0 https://t.co/UQ1ciX5CZy,2017-04-10T19:36:05.000Z,https://t.co/ymYoC94WXP,The Smoke Room,"Washington, DC",false,3,8,4,13,5,1
MwalimuRachel,Do you think people in America are exaggerating over the Pepsi Ad? #Class124 @HomeboyzRadio,2017-04-05T11:00:22.000Z,https://t.co/m4NRnB9g9y,Mwalimu Rachel (Abena Adiepena),Mother Earth.,true,1,2,1,6,4,0
