user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
theheraldsun,"The Red Cross has defended why just $30 million of $115 million raised has been issued to people in need.
https://t.co/htUOtysfat",2020-01-23T04:40:10.000Z,http://t.co/LhVhBJqLWx,Herald Sun,"Melbourne, Australia",true,14,19,7,54,35,-7
BreakfastNews,"The @RedCrossAU has raised $115 million for the #AustraliaFires — and has allocated $30 million for immediate relief.

Red Cross' Poppy Brown explains why they're rolling the funding out over years, and says all interest earned on that money will go to communities. https://t.co/dvjeMKzB8V",2020-01-22T21:11:23.000Z,https://t.co/ANxfrEKaO9,News Breakfast,Australia,true,57,113,53,141,28,-4
2GB873,"The Red Cross has categorically denied accusations it's ""stashing"" donations.

“I can assure you we’re not withholding money for future disasters.”

https://t.co/23pcYTREIJ",2020-01-22T21:40:45.000Z,http://t.co/2DKQWEllTJ,2GB 873,"Sydney, Australia",true,1,5,2,16,11,1
SkyNewsAust,"The Red Cross is denying claims it is stockpiling bushfire relief donations, insisting all of the money will be spent this financial year and not on future disasters.

https://t.co/s87Py5xoK5",2020-01-23T02:17:31.000Z,https://t.co/w0LnWARl5k,Sky News Australia,"Sydney, Australia",true,5,2,2,13,11,-3
sunriseon7,The Red Cross has has come under fire after admitting administration costs alone could take away 10% of bushfire donations. https://t.co/4LLsVGFJu6,2020-01-24T20:30:52.000Z,https://t.co/b4FV66ZCBx,Sunrise,Brekky Central,true,10,16,3,25,9,-7
JohnOSullivan36,#AustraliaOnFire #AustralianBushfireDisaster @RedCrossAU new POLL what are you thoughts about Red Cross only distributed a third of the nearly 100 million donated?,2020-01-22T10:17:45.000Z,https://t.co/Mt6jrUk1ij,John O’Sullivan 💙🇦🇺🇬🇧🇳🇿 🇵🇹🇮🇪 🤔🤔🌏🌈🌈,"Prahran, Melbourne, Australia",false,16,8,0,15,7,-16
3AW693,"The Red Cross has responded to criticism of ""drip-feeding"" money to bushfire ravaged communities 
https://t.co/qjNxshKMLc",2020-01-23T00:07:08.000Z,https://t.co/vEeKewagNY,3AW Melbourne,Melbourne,true,5,1,2,8,7,-3
TheTodayShow,“The balance of those funds IS for the bushfires.” The Red Cross' director of Australian services has DENIED allegations that up to $60 million in bushfire donations has been withheld from victims. #9Today https://t.co/RcHeFZvmlU,2020-01-22T20:26:47.000Z,https://t.co/mdVYH0fwgb,The Today Show,Australia,true,6,12,4,18,6,-2
7NewsAdelaide,"The @RedCrossAU has moved to quash criticism about its handling of the distribution of funds raised for bushfire relief. It says they are working to speed up relief efforts, but admit that some of the cash raised may go to help people hit in disasters down the track. #7NEWS https://t.co/tEF1JeXOIb",2020-01-23T06:54:55.000Z,https://t.co/LDyKRbD9ZA,7NEWS Adelaide,"Hindmarsh, Adelaide",true,1,1,0,7,6,-1
KE6ZGP,Red Cross director admits $10MILLION will not go to bushfire victims https://t.co/5lV4RVzydx,2020-01-24T07:29:38.000Z,https://t.co/F6MElPahpO,Bryan Herbert 🇺🇸,"Lost Wages, NV DM26jc",false,2,1,1,5,4,-1
7NewsSydney,The @RedCrossAU continues to defend its handling of donations despite admitting administration costs could take away 10% of bushfire relief contributions. It has come under fire after the staggering cost of salaries &amp; other expenditure was revealed. https://t.co/Fjhus9kp8z #7NEWS https://t.co/MGyVm8kN34,2020-01-24T20:31:44.000Z,https://t.co/DU1c7lI1wg,7NEWS Sydney,Sydney,true,2,6,1,10,4,-1
BenFordhamLive,"HIGHLIGHTS with @BenFordham + @RedCrossAU boss Noel Clement, on why his charity is withholding many #Bushfire donations for later. https://t.co/Sv0SOWK2oC",2020-01-22T07:41:19.000Z,https://t.co/dma1EtfCU7,Ben Fordham Live,NA,false,2,2,0,5,3,-2
dailytelegraph,"Generous Australians have donated more than $95 million to the Red Cross Disaster Relief and Recovery Fund but The Daily Telegraph can reveal less than a third of the money has been committed to fire victims.

https://t.co/G8xfhwgJnS",2020-01-22T03:31:42.000Z,https://t.co/D2JdYi2JZS,The Daily Telegraph,"Sydney, Australia",true,3,4,1,6,2,-2
TheTodayShow,"SHOCKING: Red Cross has been accused of saving donations meant for fire victims, to use for future disasters. #9Today https://t.co/KKzKdkV5C4",2020-01-22T18:54:16.000Z,https://t.co/mdVYH0fwgb,The Today Show,Australia,true,25,47,17,49,2,-8
serehfas,"Ouch.
Bushfire aid: Red Cross admits to $11 million 'administration cost' to help fire victims https://t.co/TVgF0hUIEt",2020-01-25T11:46:54.000Z,,Angie Adamson,NA,false,3,2,0,4,2,-3
fox5dc,Delta donates $250K to American Red Cross for Australia bushfire relief funds https://t.co/ztVIh7muuj,2020-01-16T19:00:00.000Z,https://t.co/DY6ZjTmYZW,FOX 5 DC,Washington DC,true,2,2,0,3,1,-2
826Maureen,"""Red Cross has hit back at claims it’s withholding donations from bushfire victims for future use.
The charity has categorically denied the claims, insisting all of the $115 million donated so far will be used on immediate and long-term bushfire recovery."" https://t.co/mwfSzY511P",2020-01-22T22:47:56.000Z,,🌼Maureen says G’Day🙋🏻‍🌼,RIVERINA. NSW. AUSTRALIA. ,false,10,23,11,24,1,1
lukeroyes,I can’t believe the stitch-up job being done on @RedCrossAU by out-of-touch NSW ministers – including one that basically had to be dragged home from the other side of the planet kicking and screaming as his state burned. All a handy distraction https://t.co/4vouFt8sGk,2020-01-23T00:49:38.000Z,https://t.co/MNqdxcpUUo,Luke Royes,Mianjin,false,1,1,0,2,1,-1
LSW12612672511,Red Cross director admits $10MILLION will not go to bushfire victims} https://t.co/9QziH4N091 via @,2020-01-23T01:54:09.000Z,,LSW1,NA,false,11,5,3,6,1,-8
Franktmcveety,Red Cross director admits $10MILLION will not go to bushfire victims https://t.co/jKZMClrrVu via @MailOnline,2020-01-23T18:34:58.000Z,,Frank McVeety,"Edmonton, Alberta",false,5,1,0,2,1,-5
lynlinking,Australian Red Cross defends spending 10% of bushfire donations on office costs https://t.co/lvaWPOaxx1,2020-01-23T21:00:21.000Z,,lynlinking,Australia,false,3,3,0,4,1,-3
nobby15,Australian Red Cross defends spending 10% of bushfire donations on office costs https://t.co/ENnJovi0Yn,2020-01-24T01:58:24.000Z,,💧DUKE Clyde (HANSARD)CFW9 (Biden-Harris ELECT)💧,"Perth, Western Australia",false,1,2,1,3,1,0
NZITArchitect,"You aren't donating to the victims your giving the money to the #redcrooks who basically just keep it for whatever the fuck they like

Australian Red Cross defends spending 10% of bushfire donations on office costs https://t.co/NiyasJPX9a",2020-01-24T21:08:11.000Z,https://t.co/JgrADOZfBF,Cyber_Cephalopod,Alpha Centauri,false,1,1,0,2,1,-1
jungillshadow,Red Cross to give only a third of $95m in donations to bushfire victims https://t.co/JatQkMS6nh,2020-01-29T22:47:52.000Z,https://t.co/3unKdwCjlV,Jimmy,"Johnson City, TN",false,1,1,0,2,1,-1
bladedshard,"So I've got a fellow viewer who lives in Australia and has been giving me a lot of insight.  I really really wish I had the money to support this, or the donations.  I highly recommend everyone shoot a support there. and to red cross   https://t.co/d2WNNfThza",2020-01-15T21:42:14.000Z,https://t.co/KYKtWrEZT8,(OLG)bladedshard,Manitoba,false,1,2,0,2,0,-1
theabfparty,"Millions of donated and taxpayer dollars sits in their bank accounts gaining interest for these organisations while vulnerable Australian men, women and children go with out.

What have we become?

#Fires #Flood #Drought #Betrayal #BetterFamilies  https://t.co/ktNFQ5yOZk",2020-01-22T09:35:15.000Z,https://t.co/nCE4iXGTQO,Australian Better Families,"Brisbane, Queensland",false,1,2,1,2,0,0
9NewsMelb,"The charity has been criticised for committing only $30 million of the $115 million raised for immediate support to affected communities. #9News
https://t.co/rgfsMGXezW",2020-01-22T22:29:04.000Z,http://t.co/mTeTNcmhaU,9News Melbourne,"Melbourne, Australia",true,1,2,1,2,0,0
Peter90666913,"The States are meant to manage #bushfiresAustralia however isn’t it interesting- federal donate 2 billion NSW 1 billion, inept and useless failed state Victoriastan leader commits 86 million #auspol #DenialAndrews has been invisible though the whole crisis https://t.co/CM6rpo8VXq",2020-01-22T22:40:06.000Z,,Peter,NA,false,2,2,0,2,0,-2
7NewsAustralia,The Australian @RedCross has received more than $90 million in donations to assist Australians affected by the devastating bushfires of recent months. #7NEWS https://t.co/w8yr4cpqRz,2020-01-22T23:09:22.000Z,https://t.co/dVPe2p6YCl,7NEWS Australia,Australia,true,2,2,0,2,0,-2
SpacewomanR,"EVERYONE GOT THEIR HANDS IN THEIR POCKETS 
Red Cross director admits that almost $11million from bush fire donations WON'T go to victims and will be used for 'administration costs' https://t.co/53249Cacw8",2020-01-23T01:50:43.000Z,,spacewoman reporter,Universe,false,1,1,0,1,0,-1
DagmarUnger,WORLDWIDE Red Cross is EVIL! Director admits $10M donations will not go to Australian bushfire victims INSTEAD it will be ADMIN cost https://t.co/zK6SptfMvE @DrShayPhD @RedCross @RedCrossAU @BenKTallmadge @JackPosobiec @dmills3710 @RepStevenSmith @RitaPanahi @beneltham,2020-01-23T07:10:20.000Z,,Dagmar Unger,NA,false,5,4,3,4,0,-2
rooboy_18,@RedCrossAU put all the money raised for the Bushfire victims to them now not the future! We will give again when it happens next time! But not to your charity. #FireFightAustralia #AustralianBushfiresDisaster #australianfirevictims,2020-01-23T07:16:20.000Z,,Peiter,"Victoria, Australia",false,1,1,0,1,0,-1
yuma_fpv,"Dear 🇦🇺

Now Most Japanese know Australia is happening a big fire.

I felt serious sadness . I was looking for something what I can do . for Australia
I donated 🇦🇺Red Cross.

I hope 🇦🇺 will recover as soon as possible.

#AustraliaFires #Australia https://t.co/qRYVpMETd1",2020-01-23T08:00:16.000Z,https://t.co/wEQ5dPq4es,yuma,最近はMavic 3関連の動画をアップしてます。,false,1,1,0,1,0,-1
EarthSymbol,This is completely unacceptable and cruel to people in 🔥 need 😠#Bushfireaid #RedCross admits to $11 million 'administration cost' to help fire victims. @vicemergency #RedCross (#Vinnies @salvationarmy) https://t.co/aM6UspY4Yo #Samaritans @politico,2020-01-23T09:27:28.000Z,,Earth#Symbol ®, #Australia #Victoria  😷,false,1,1,0,1,0,-1
Cobra1A,Red Cross director admits $10MILLION will not go to bushfire victims https://t.co/gFcvosKDZw via @MailOnline,2020-01-23T11:04:30.000Z,,Angelo Angeli 🎀,NA,false,1,1,0,1,0,-1
Ausshot3Dave,"Bushfire anger intensifies as NSW Ministers claim charities stockpiling cash meant for victims - ABC News https://t.co/nfgwyqHXi7. Does surprise me a little, we gave money to charities, we gave up any rights! It’s totally legal &amp; charities right. Politics 👎🏼",2020-01-23T11:24:31.000Z,,Tweet Whisperer David J Smith,Western Australia,false,1,1,0,1,0,-1
matkertesz,The furor around the Red Cross and other charities handling of bushfire donations shits me to fucking tears. Those organisations are doing shitfully hard work under difficult circumstances and politicians are throwing them under the bus to distract from their own failings...,2020-01-23T21:18:23.000Z,,Mat Kertesz,NA,false,1,1,0,1,0,-1
otr_alexander,@RedCrossAU Take note Red Cross. Given your current actions in regard to our bushfire victims. I for one will never give you one more CENT. #AustralianFires #bushfireaustralia #auspol https://t.co/UCtkUbfTYv,2020-01-24T01:22:59.000Z,https://t.co/mZQOYs7oou,Alex J Hehr OAM 🌸,Melbourne,false,1,1,0,1,0,-1
matty_shane,"@sunriseon7 how can Gretel really defend the #RedCross on withholding 108 million dollars that was donated for bushfire victims?? People donate out of the kindness of their hearts, people who hardly have any money gave what they could. It's disgusting!!",2020-01-24T21:06:26.000Z,,Matthew Dean,NA,false,1,1,0,1,0,-1
sunriseon7,"The @RedCrossAU have reversed their plan to hold bushfire donations for future disasters, as only $7 million of the $115 million has been distributed. https://t.co/LdORbWmHL3",2020-01-24T21:55:27.000Z,https://t.co/b4FV66ZCBx,Sunrise,Brekky Central,true,9,18,1,18,0,-8
beschuit_p,"Serieus

Wat een criminele bende dat rode kruis 

https://t.co/UPBRw5ppzp",2020-01-25T10:03:02.000Z,,Beschuit,NA,false,2,1,0,1,0,-2
RedCrossMA,"RT RedCross: dawko15 The Australian Red Cross is using donations from generous donors like you to help save lives and is getting AUD $1 million out the door each day to help families affected by the bushfires. To read more about their efforts, visit https://t.co/013rOaKEaa.",2020-01-25T16:37:02.000Z,,RedCrossMA,Massachusetts,true,1,1,0,1,0,-1
sayheyphilly,Red Cross director admits $10MILLION will not go to bushfire victims | Daily Mail Online https://t.co/OyYUsQehvk,2020-01-25T19:44:21.000Z,,Kat 🌊,Fly Eagles Fly 🦅—🌴,false,1,1,0,1,0,-1
AcculturatedEgo,Red Cross to give only a third of $95m in donations to bushfire victims https://t.co/Es3X8y3YFW,2020-01-29T15:17:32.000Z,https://t.co/y8xnTKUE8K,Sarah Scout,www.sarahscout.wordpress.com,false,1,1,0,1,0,-1
gld301218,Red Cross Bushfire Emergency Grants https://t.co/xh5tagmYuq,2020-01-15T04:35:04.000Z,,💧liblawlib🦉,Cammeraygal country,false,1,1,0,0,-1,-1
travelwithraf,"Join @amazingrace_au Nick &amp; Femi as they host Sydney's Bushfire Relief Fundraiser, Thurs 23 Jan. With great auction prizes and all proceeds go to @RedCrossAU #travelandlifestyle https://t.co/3J1FFaYBOn",2020-01-16T04:41:06.000Z,https://t.co/k3vflcbKnB,Rafael Ruiz,"Sydney, Australia",false,1,1,0,0,-1,-1
ACBlackmore,Massive thank you to @ComedyLounge for hosting a charity gig for @RedCrossAU tonight - helping raise money to recover from bushfires and giving everyone a laugh!! #perthisok https://t.co/X2mUNyEitb,2020-01-16T12:56:03.000Z,https://t.co/0zWoXcz02C,Aisling Blackmore,Perth (Whadjuk Noongar boodja),false,1,1,0,0,-1,-1
RentalCover,"We’ve reached almost 10% of our donation goal of $100,000 📈 for our Bushfire Appeal

Support Australia today and get 20% off rental car insurance, and we’ll match it with a 20% donation to the Red Cross. (N/A in the US)

 https://t.co/Y1HZTmHdU2",2020-01-16T23:06:59.000Z,https://t.co/5h4eYxNz3f,RentalCover.com,NA,false,1,1,0,0,-1,-1
Cassowary_Man,"Dedicated to all the victims, firefighters and wildlife who have endured loss and suffered through this catastrophic fire season. You all deserved better from the Prime Minister. All proceeds to Red Cross Disaster Relief &amp; Wires
Full version https://t.co/Hdvq7fDUMD https://t.co/6WmTDXKAdl",2020-01-17T03:57:06.000Z,https://t.co/lyJWJLrflT,Paul Webster,Cairns,false,1,1,0,0,-1,-1
RetailBanker,"Over the past several months the #AustralianBushfires have caused huge devastation for both people and wildlife. In response, @RevolutApp has joined with @RedCrossAU and @WWF to help lessen the impact. 
https://t.co/HLe1MrbNsD",2020-01-17T10:44:49.000Z,http://t.co/bYX7Y4ZW6U,Retail Banker,London,false,1,1,0,0,-1,-1
