user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Starbucks,"On 5/29, we'll close US company-owned stores to conduct racial-bias training to address implicit bias &amp; prevent discrimination. We're taking a hard look at who we are as a company. We’re ashamed &amp; recognize that racial bias is a problem we must address. https://t.co/xIYc75BJPj",2018-04-17T19:35:23.000Z,https://t.co/bwCU43Ww5z,Starbucks Coffee,"Seattle, WA",true,8294,25056,3214,4343,-20713,-5080
notcapnamerica,White people: watch the Starbucks arrest video.  See the white folks arguing with the police and asking why two innocent black men were being arrested?  THIS is how you use your privilege.  Because if one of us had said something we’d get arrested too.,2018-04-14T23:15:41.000Z,https://t.co/UxA5gtxwXe,chris evans,"New York, NY",false,65325,275517,1466,2421,-273096,-63859
SheriffClarke,Not too long ago a Philadelphia Starbucks refused to let a police officer use the restroom telling him it was for paying customers. Don’t remember Starbucks closing 8000 stores for sensitivity training toward police. #BackTheBlue. https://t.co/rmGOoyUPAg,2018-04-20T03:17:54.000Z,https://t.co/3uJT0CQFCs,"David A. Clarke, Jr.",NA,false,8146,17146,779,1111,-16035,-7367
AP,BREAKING: Black men arrested at Starbucks settle with Philadelphia for $1 each and a city pledge of $200K for young entrepreneurs.,2018-05-02T16:19:18.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,17161,59889,4439,1068,-58821,-12722
AP,"BREAKING: Starbucks will close more than 8,000 US stores on afternoon of May 29 to conduct racial-bias education for employees.",2018-04-17T17:54:31.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,6553,15358,2128,927,-14431,-4425
KevinHart4real,Let's make one thing very clear....This is not a boycott @Starbucks situation....This is horrible management. The manager on duty was wrong. It's that simple...That's who needs to take responsibility for this wrong doing.,2018-04-15T16:31:31.000Z,https://t.co/QEAXjYK4eK,Kevin Hart,Philly/LA,true,1292,7637,538,920,-6717,-754
PrisonPlanet,"White guilt: Black guy walks into Starbucks, drops word ""racist,"" demands a free coffee and gets it. 😄 https://t.co/nOT1Uwiimc",2018-04-18T11:15:58.000Z,https://t.co/LRfnYsWvZZ,Paul Joseph Watson,London,true,1688,3488,375,867,-2621,-1313
larryelder,"The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",2018-04-21T10:53:57.000Z,https://t.co/qYBVRK6S23,Larry Elder,"L.A., Calif.",true,4387,12743,321,810,-11933,-4066
GMA,"FULL INTERVIEW: ""I personally apologize..."" Starbucks CEO Kevin Johnson one-on-one with @RobinRoberts in his first interview after two black men were handcuffed at a Philadelphia store.

FULL STORY: https://t.co/4CL5j2lPL7 https://t.co/AVnguPqAxa",2018-04-16T11:50:58.000Z,https://t.co/rshRna9QeG,Good Morning America,"New York, NY",true,1135,2493,368,787,-1706,-767
HotepJesus,Starbucks is racist https://t.co/fPf3ERMlXX,2018-04-15T22:14:21.000Z,https://t.co/pA66554Xvt,Hotep Jesus,"New Jersey, USA",true,1233,2780,878,729,-2051,-355
w_terrence,"I hate crying! I just experienced racism at Starbucks. I tried to order some Fried Chicken, collards greens, Mac &amp; cheese and they told i me I had to go Popeyes or KFC. Then I asked them to give me a ride and they looked at me Crazy and said No! #BoycottStarbucks",2018-04-20T20:42:45.000Z,https://t.co/xSRDfATJtL,Terrence K. Williams,United States,true,1903,8069,254,720,-7349,-1649
eugenegu,"Dear Starbucks,

Calling the police to arrest two black guys just for being there is not an “incident.” It’s racism at its ugliest level. And it should have no place in America.

Sincerely,
#BoycottStarbucks",2018-04-14T22:14:56.000Z,,"Eugene Gu, MD","New York, USA",true,8031,23081,411,718,-22363,-7620
