user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
united,The passengers this morning were United pass riders who were not in compliance with our dress code policy for company benefit travel.,2017-03-26T18:25:48.000Z,https://t.co/672Qvc9oMM,United Airlines,NA,true,791,2577,1485,3208,631,694
foxandfriends,What's your take on the United Airlines leggings drama? https://t.co/i4wzRdKwcH,2017-03-27T11:47:32.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,18,48,24,226,178,6
jaketapper,Did the Obama administration misrepresent success of chemical weapons deal? https://t.co/L4A3J5hY5h - @SenJackReed on #TheLead,2017-04-10T22:31:31.000Z,https://t.co/kjRzE2MxgT,Jake Tapper,"Washington, D.C.",true,39,57,28,152,95,-11
foxandfriends,United CEO defends employees amid controversial removal of passenger from plane; consumers call for boycott of airline | @ClaytonMorris https://t.co/MMKj0HFMTH,2017-04-11T11:42:06.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,81,123,43,188,65,-38
thehill,United defends dragging passenger off overbooked flight: He refused to leave https://t.co/FNoG2IayeV https://t.co/IpAoENpq9w,2017-04-10T17:49:06.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,93,67,76,127,60,-17
NBCDFW,"Do you agree with United Airlines’ decision to remove two passengers from a flight for wearing leggings?
To vote, reply with: ""Yes"" or ""No""",2017-03-27T17:40:34.000Z,https://t.co/Hxl3MOMqDZ,NBC DFW,NA,true,3,5,1,62,57,-2
foxandfriends,Police violently drag man from United plane after airline reportedly overbooked flight https://t.co/nkPGbOkNV6,2017-04-10T23:00:17.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,53,67,26,117,50,-27
SpecialReport,A trending topic today on nearly all social media platforms--do you agree with United's decision to remove the... https://t.co/BhL24eJwmU,2017-04-10T18:08:09.000Z,https://t.co/H5iDsdfYAV,Special Report Team,"Washington, DC",true,13,19,5,64,45,-8
foxandfriends,DRESS CODE DRAMA: United Airlines sparks outrage for banning girls from wearing leggings on a plane https://t.co/oMebx0Wjhu,2017-03-27T10:51:03.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,23,40,16,72,32,-7
ABCWorldNews,United Airlines responds to criticism over leggings policy: https://t.co/e3hHZLwa5A https://t.co/ruMXVntcVM,2017-03-27T20:21:57.000Z,https://t.co/21lQvAo6Jr,World News Tonight,New York,true,5,10,2,38,28,-3
